日付,カテゴリ,発生日時,終了日時,実作業時間(概算),内容（転記用）
2026/04/17,サイボウズ関連,09:14,18:24,2:43,"サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F）の操作 (09:14～09:19) / サイボウズ（トップページ）の操作 (09:15～09:15, 11:13～11:13, 11:33～11:33, 12:56～12:56, 16:09～16:09) / サイボウズ（個人フォルダ）の操作 (09:15～09:26, 11:33～11:36, 12:56～13:01, 14:04～14:04, 14:43～14:48, 15:30～15:30, 16:09～16:53, 18:24～18:29) / サイボウズ（メッセージの詳細）の操作 (09:15～09:26, 09:42～09:43, 11:13～11:13, 12:56～13:14, 13:37～13:37, 14:04～14:04, 14:43～14:49, 15:30～15:30, 16:09～16:09, 16:39～16:50) / サイボウズ（メール）の操作 (09:15～09:15, 15:29～15:34) / サイボウズ（ワークフロー（最新一覧））の操作 (09:16～09:24) / サイボウズ（未処理申請の処理）の操作 (09:16～09:21) / サイボウズ（メール本文）の操作 (10:54～10:54, 15:29～15:34) / サイボウズ（ファイル管理）の操作 (11:13～11:13, 12:56～13:01) / サイボウズ（ファイルの詳細）の操作 (11:13～11:13, 12:56～13:01, 16:39～16:46) / サイボウズ（メッセージの送信）の操作 (11:33～11:35, 14:04～14:12, 14:33～14:42) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex&fid= および他 1 ページ）の操作 (11:36～11:41) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 1 ページ）の操作 (13:01～13:06) / サイボウズ（forestway.cybozu.com/o/a..."
2026/04/17,メール対応,09:22,18:24,1:22,"メールの閲覧・作成 (09:22～09:26, 13:15～14:07, 16:23～16:23, 16:50～16:50, 18:24～18:29)"
2026/04/17,事務・データ処理,09:22,17:23,2:24,"Excel（ログ表示結果.xlsm）の入力・編集 (09:22～09:26, 09:42～09:42, 11:43～11:51, 14:07～14:12) / PDF（Acrobat-for-Chrome.pdf）の確認 (09:22～09:22) / PDF（本社内線表(20260402) (2).pdf および他 1 ページ）の確認 (11:13～11:33) / PDF（本社内線表(20260402) (2).pdf）の確認 (11:13～11:18) / PDF（ABJ）.PDF）の確認 (13:16～13:28) / PDF（NW見積書 フォーレスト様向けノートPC_20260415.pdf）の確認 (13:16～13:23) / PDF（20260415?受領書 兼 検収書.pdf）の確認 (13:39～13:44) / Excel（ログ表示結果-20260416175217.csv）の入力・編集 (14:08～14:10) / Excel（営業部_ログ検索結果-20260416140900.csv）の入力・編集 (14:09～14:10) / Excel（管理コンソールメイン画面.csv）の入力・編集 (14:09～14:13) / Excel（ログ表示結果-20260416175217.xlsm）の入力・編集 (14:10～14:42) / Excel（Microsoft Visual Basic for Applications）の入力・編集 (14:11～14:13, 15:29～15:29, 16:40～16:45) / Excel（FMV dynabook OA系デバイス管理台帳.xlsx ）の入力・編集 (14:18～14:24) / Excel（本社OAプライベートIPアドレス割当一覧.xlsx ）の入力・編集 (14:20～14:20) / Excel（本社OAプライベートIPアドレス割当一覧.xlsx）の入力・編集 (14:20～14:42, 16:40～16:45) / Excel（①社用ノートパソコン管理台帳.xlsx ）の入力・編集 (14:23～14:24) / Excel（2026年4月度【社員】勤怠申請・承認のご依頼0417.xlsx ）の入力・編集 (16:40～16:44, 17:23～17:28)"
2026/04/17,情報調査,09:00,18:26,6:04,"Web（①社用ノートパソコン管理台帳 (version 1).xlsb ）の調査 (09:00～09:22, 14:12～14:33) / Web（インフォメーション）の調査 (09:14～09:14, 11:33～11:33, 16:09～16:14) / Web（Google Chrome）の調査 (09:22～09:27) / Web（Google）の調査 (09:22～09:23) / Web（「Microsoft Edge」にゼロデイ脆弱性、WebGPU実装「Dawn」の欠陥を突く攻撃が確認）の調査 (09:22～09:22, 12:01～12:01, 12:55～13:00) / Web（社内SEの仕事なんでも相談）の調査 (09:22～09:26, 09:42～09:42, 10:13～10:22, 10:41～11:37, 11:57～12:09, 12:55～12:59) / Web（Adobe）の調査 (09:22～09:22) / Web（ばりとくこだま）の調査 (09:22～09:22) / Web（google.com）の調査 (09:22～09:27) / Web（まだGeminiを「わざわざ」開いてる？ブラウザの横に固定するだけで作業はもっと楽になる | ライフハッカー・ジャパン）の調査 (09:22～09:27) / Web（lifehacker.jp/article/2404-i-stopped-using-gemini-in-its-own-tab-this-is-better-way-to-run/）の調査 (09:22～09:27) / Web（Loading...）の調査 (09:22～09:27) / Web（「Windows+R」は絶対に押すな！　新入社員に贈るセキュリティの新常識5選（ITmedia エンタープライズ））の調査 (09:23～09:24) / Web（news.yahoo.co.jp/articles/dc5705a0e2446ed939ba7ac2ee52ed93da5551d8?page=3）の調査 (09:23～09:28) / Web（news.yahoo.co.jp/articles/dc5705a0e2446ed939ba7ac2ee52ed93da5551d8?page=2）の調査 ..."
2026/04/19,その他,20:04,21:53,0:42,"Chat (20:04～20:09) / Word (20:06～20:11) / Excel (20:07～20:22, 21:19～21:19, 21:44～21:53) / スタート (20:22～20:27)"
2026/04/19,サイボウズ関連,20:06,22:11,1:15,"サイボウズ（ファイルの詳細）の操作 (20:06～20:06) / サイボウズ（個人フォルダ）の操作 (20:06～20:18, 21:54～21:54) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderMessageView&mDBID=2&mEID=90195&mDID=292583&cp=ml&sp=&tp= および他 5 ページ）の操作 (20:06～20:11) / サイボウズ（メッセージの詳細）の操作 (20:06～20:49, 21:48～21:53) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 5 ページ）の操作 (20:07～20:12) / サイボウズ（ワークフロー（最新一覧））の操作 (20:07～20:07) / サイボウズ（未処理申請の処理）の操作 (20:07～20:07) / サイボウズ（個人フォルダの検索）の操作 (20:15～20:18, 21:54～22:11) / サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F および他 1 ページ）の操作 (21:54～21:59) / サイボウズ（forestway.cybozu.com および他 1 ページ）の操作 (21:54～21:59) / サイボウズ（トップページ）の操作 (21:54～21:54)"
2026/04/19,メール対応,20:31,23:36,0:10,"メールの閲覧・作成 (20:31～20:32, 23:36～23:41)"
2026/04/19,事務・データ処理,20:08,22:16,1:58,"Excel（①社用ノートパソコン管理台帳 (version 1).xlsb.xlsx ）の入力・編集 (20:08～20:08) / Excel（①社用ノートパソコン管理台帳.xlsx ）の入力・編集 (20:09～20:09) / Excel（本社OAプライベートIPアドレス割当一覧.xlsx ）の入力・編集 (20:09～20:14) / Excel（本社OAプライベートIPアドレス割当一覧.xlsx）の入力・編集 (20:09～20:14) / Excel（FMV dynabook OA系デバイス管理台帳.xlsx ）の入力・編集 (20:09～20:14) / Excel（③2025年度下期_行動評価シート（様式②~⑤）.xlsx ）の入力・編集 (20:11～20:19, 21:50～21:50) / Excel（③2024年度上期_行動評価シート（様式②~⑤） (2).xlsx）の入力・編集 (20:19～20:19, 21:52～22:15) / PDF（①2025年度_下期_人事評価(概要).pdf）の確認 (20:19～20:20, 21:49～21:54) / Excel（②2025年度下期_多面評価シート（様式①）.xlsx）の入力・編集 (20:21～20:26) / Excel（④2025年度下期_役割変更推薦書（様式⑥）　.xlsx ）の入力・編集 (20:21～20:21) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (3).xlsx ）の入力・編集 (20:21～20:21) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (3).xlsx）の入力・編集 (20:21～20:21) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx）の入力・編集 (20:22～20:34, 20:49～21:29) / PDF（Acrobat-for-Chrome.pdf）の確認 (20:31～20:31) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx ）の入力・編集 (20:49～20:49) / Excel（新規タスク記録表.xlsx）の入力・編集 (21:20～21:20) / Excel（③2025年度下期_行動..."
2026/04/19,情報調査,20:04,23:54,3:20,"Web（Messaging APIの料金 | LINE Developers）の調査 (20:04～20:09) / Web（LINE Notify）の調査 (20:04～20:09) / Web（MT5 乖離アラートインジケーター作成）の調査 (20:04～20:09) / Web（リモート アクセス）の調査 (20:05～20:16) / Web（FWN-026）の調査 (20:05～20:16) / Web（Perplexity）の調査 (20:06～20:11) / Web（日本は管理者は残業代つかないけど海外も同様？）の調査 (20:06～20:11) / Web（文書 1）の調査 (20:06～20:11) / Web（Bizストレージ ファイルシェア）の調査 (20:06～20:11) / Web（Google Chrome）の調査 (20:06～20:06, 20:31～20:36) / Web（Bizストレージ ファイルシェア | エラー）の調査 (20:06～20:11) / Web（Microsoft Excel）の調査 (20:07～20:07, 20:56～20:56, 21:53～21:53) / Web（①社用ノートパソコン管理台帳 (version 2).xlsb ）の調査 (20:07～20:09) / Web（①社用ノートパソコン管理台帳 (version 1).xlsb）の調査 (20:07～20:12) / Web（①社用ノートパソコン管理台帳 (version 1).xlsb ）の調査 (20:07～20:07) / Web（本社OAプライベートIPアドレス割当一覧 (version 1).xlsb ）の調査 (20:09～20:09) / Web（FMV dynabook OA系デバイス管理台帳 (version 1).xlsb ）の調査 (20:09～20:09) / Web（起動しています）の調査 (20:11～20:22, 20:49～20:49, 21:20～21:23, 21:50～21:53) / Web（Adobe Acrobat にようこそ）の調査 (20:20～20:25) / Web（Adobe Acrobat Reader (64-bit)）の調査 (20:20～20:20, 21:50～21:..."
2026/04/20,その他,00:07,18:56,1:22,"x.com - Google Chrome (00:07～00:12) / X - Google Chrome (00:07～00:11) / 拡張機能 (00:13～00:13, 15:19～15:19) / Gmail (13:27～13:32) / Gmail - Google Chrome (13:27～13:32) / ページ設定 (14:22～14:27) / 注文履歴 (15:27～15:27) / 注文履歴 - Google Chrome (15:27～15:32) / 画像の圧縮 (15:47～15:47, 16:21～16:26) / セルの幅 (15:49～15:54) / スタート (16:20～16:23, 16:54～16:59) / Excel (16:20～16:25, 17:46～17:54, 18:48～18:56) / 0% 完了 (17:53～17:58) / 3% 完了 (17:53～17:58)"
2026/04/20,サイボウズ関連,09:25,18:58,2:10,"サイボウズ（個人フォルダの検索）の操作 (09:25～09:30) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=FileIndex および他 1 ページ）の操作 (09:25～09:30) / サイボウズ（ファイル管理）の操作 (09:25～09:26) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=FileIndex&gid=&fCID=80073 および他 1 ページ）の操作 (09:26～09:31) / サイボウズ（個人フォルダ）の操作 (09:38～09:38, 10:29～10:29, 13:34～13:34, 14:37～14:37, 15:11～15:19, 15:37～15:37, 16:31～16:40, 17:10～17:10, 18:02～18:05, 18:45～18:57) / サイボウズ（メッセージの詳細）の操作 (09:38～09:38, 17:10～17:21, 17:39～17:39, 18:02～18:05, 18:42～18:47) / サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F および他 1 ページ）の操作 (10:28～10:33) / サイボウズ（トップページ）の操作 (10:28～10:28, 16:31～16:31) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex&FID=inbox および他 1 ページ）の操作 (15:11～15:16) / サイボウズ（スケジュール（グループ週表示））の操作 (15:37～15:37, 16:19～16:31) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderMessageSend&fid=&cp=ml および他 4 ページ）の操作 (16:31～16:36) / サイボウズ（メッセージの送信）の操作 (16:31～16:40) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex&fid= および他 ..."
2026/04/20,システム開発,16:54,17:54,0:53,"Antigravityでの「システム開発・改善」の開発・相談 (16:54～16:54, 17:11～17:54)"
2026/04/20,メール対応,09:50,16:42,0:30,"メールの閲覧・作成 (09:50～09:50, 11:49～11:51, 14:08～14:11, 15:40～15:41, 16:42～16:42)"
2026/04/20,事務・データ処理,13:25,18:57,2:48,"Excel（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (13:25～13:29, 14:12～14:44, 15:06～15:49, 16:19～16:25) / PDF（ABJ）.PDF）の確認 (14:11～14:11, 15:41～15:46) / PDF（NW見積書 フォーレスト様向けノートPC_20260415.pdf）の確認 (14:11～14:11, 15:41～15:46, 16:19～16:24) / PDF（(old)20260420_OA中古ノートPC7台購入_④稟議書（システム関連,社長決裁）20230701.pdf）の確認 (16:29～16:34) / PDF（20260420_OA中古ノートPC7台購入_④稟議書（システム関連,社長決裁）20230701.pdf）の確認 (16:30～16:34) / Excel（20260420_OA中古ノートPC７台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (16:35～16:40, 18:48～18:57) / PDF（20260420_OA中古ノートPC７台購入_④稟議書（システム関連,社長決裁）20230701.pdf）の確認 (16:38～16:40, 17:13～17:13, 18:57～19:02) / PDF（20260420_OA中古ノートPC７台購入_④稟議書（システム関連,社長決裁）20230701.pdf および他 5 ページ）の確認 (17:13～17:18) / Excel（test_data.csv）の入力・編集 (17:41～17:53) / Excel（test_data(分割済み1).csv）の入力・編集 (17:52～17:53) / Excel（test_data(分割済み2).csv）の入力・編集 (17:53～17:58) / Excel（test_data(分割済み3).csv）の入力・編集 (17:54～17:59) / Excel（20260420（社員）勤務シフト変更届（2026年度用）.xlsx ）の入力・編集 (17:58～17:58) / Excel（20260420（社員）勤務シフト変更届（2026年度用）.xls..."
2026/04/20,情報調査,00:00,18:57,6:52,"Web（Gemini）の調査 (00:00～00:00, 16:42～16:42) / Web（社内SEの仕事なんでも相談）の調査 (00:00～00:00, 16:41～16:54, 17:36～17:47, 18:42～18:47) / Web（F1技術）の調査 (00:00～00:01, 00:22～00:27) / Web（Google Gemini）の調査 (00:00～00:00, 13:27～13:43, 14:05～14:08, 16:41～16:41) / Web（Amazon）の調査 (00:03～00:03, 00:22～00:22, 10:10～10:10, 11:16～11:21) / Web（モニターアーム ﾃﾞﾕｱﾙ センターポール式 v時）の調査 (00:04～00:04) / Web（モニターアーム ﾃﾞﾕｱﾙ センターポール式 v字）の調査 (00:04～00:07, 00:22～00:27) / Web（絶対後悔しないモニターアーム おすすめ9選 | 2026年版）の調査 (00:04～00:04) / Web（direct.sanwa.co.jp/contents/sp/clm/monitor-arm/）の調査 (00:04～00:09) / Web（「いま」を見つけよう / X）の調査 (00:07～00:12) / Web（ホーム / X）の調査 (00:07～00:11) / Web（(21) ホーム / X）の調査 (00:07～00:11) / Web（マレーシア 火事）の調査 (00:08～00:11) / Web（マレーシアで大規模火災が発生し、200軒の家屋が焼失）の調査 (00:08～00:09) / Web（x.com/home）の調査 (00:11～00:16) / Web（F1）の調査 (00:11～00:11) / Web（google.com/search?q=F1&oq=F1&gs_lcrp=EgZjaHJvbWUyDAgAEEUYORixAxiABDIJCAEQIxgnGPAFMgkIAhAjGCcY8AUyCggDEAAYsQMYgAQyBggEEEUYQTIGCAUQRRg9MgYIBhBFGD0yBggHEEUYPNIBCDEyMzNqMGo0qAIAsAIB&sourceid=ch..."
2026/04/21,その他,11:22,17:46,2:49,"Excel (11:22～11:22, 13:15～13:26) / スタート (11:22～11:22) / 記録エラー (12:10～12:10) / データなし (12:10～12:10, 14:24～14:29) / 出力エラー (12:14～12:14) / 出力完了 (12:55～12:55, 13:13～13:27) / 契約状況 - My profile １ - Microsoft? Edge (13:06～13:11) / 契約状況 (13:06～13:11) / ようこそ (14:34～14:39) / PDF24 (14:35～14:40) / 翻訳済み (15:14～15:19) / 収集完了 (15:33～15:34, 16:09～16:22, 16:43～17:21, 17:41～17:46) / 0% 完了 (16:05～16:05, 17:31～17:36) / 3% 完了 (17:31～17:36)"
2026/04/21,サイボウズ関連,11:04,18:09,5:38,"サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F および他 1 ページ）の操作 (11:04～11:09) / サイボウズ（トップページ）の操作 (11:04～11:04, 13:05～13:23, 13:47～13:47, 14:56～14:56, 15:49～16:20, 16:45～16:45, 17:32～18:07) / サイボウズ（個人フォルダ）の操作 (11:04～11:34, 11:50～12:15, 12:53～12:55, 13:47～13:47, 14:33～14:33, 16:45～17:18, 17:45～17:45, 18:07～18:07) / サイボウズ（ワークフロー（最新一覧））の操作 (11:04～11:04, 11:33～11:33, 13:47～13:52) / サイボウズ（ワークフロー（送信一覧））の操作 (11:04～11:04, 13:47～13:52) / サイボウズ（申請データの詳細）の操作 (11:04～11:04, 13:47～13:47, 14:23～14:33) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 1 ページ）の操作 (11:05～11:10) / サイボウズ（メッセージの詳細）の操作 (11:05～11:18, 14:33～14:56) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=WorkFlowIndex および他 2 ページ）の操作 (11:33～11:38) / サイボウズ（未処理申請の処理）の操作 (11:33～11:38) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex&FID=inbox）の操作 (11:59～12:12, 12:53～12:58) / サイボウズ（メール）の操作 (12:04～12:13, 12:54～13:26, 14:24～14:24, 14:56～18:07) / サイボウズ（メール本文）の操作 (12:05～12:13, 12:54～12:54, 17:41～18..."
2026/04/21,システム開発,11:22,18:08,5:52,"Antigravityでの「システム開発・改善」の開発・相談 (11:22～12:15, 12:55～13:30, 13:48～14:32, 14:48～18:08)"
2026/04/21,メール対応,14:33,16:46,0:21,"メールの閲覧・作成 (14:33～14:33, 15:33～15:33, 16:21～16:21, 16:45～16:46)"
2026/04/21,事務・データ処理,11:22,13:26,0:28,"Excel（test_data(分割済み2).csv）の入力・編集 (11:22～11:27) / Excel（test_data(分割済み3).csv）の入力・編集 (11:22～11:27) / Excel（elements_list.xlsx）の入力・編集 (12:55～12:55, 13:13～13:26)"
2026/04/21,情報調査,11:03,18:07,6:01,"Web（Amazon.co.jp: 【整備済み品】 ノートパソコン NEC Versapro VM-9 14インチ フルHD Core i5-1135G7 第11世代 Windows11 Office 搭載 カメラ Wi-Fi6 type-C PC パソコン (SSD:256GB メモリ:16GB) : パソコン・周辺機器）の調査 (11:03～11:03, 12:00～12:00, 15:47～15:52) / Web（インフォメーション および他 1 ページ）の調査 (11:04～11:09) / Web（インフォメーション）の調査 (11:04～11:04, 13:05～13:09, 15:49～16:20, 16:45～16:45, 17:32～18:07) / Web（起動しています）の調査 (11:22～11:22, 12:55～12:55, 13:13～13:15) / Web（Excel/CSV 分割ツール (Ver 1.0)）の調査 (11:22～11:27) / Web（Webスクレイパー支援ツール (記録＆解析)）の調査 (11:48～12:15, 12:53～13:27, 14:23～14:33, 16:52～16:57) / Web（about:blank）の調査 (11:48～12:12, 12:53～12:53, 13:09～13:22, 14:23～14:27, 14:55～15:53, 16:08～17:18, 17:42～17:45) / Web（Google）の調査 (11:48～12:12, 12:53～12:53, 13:09～13:30, 14:23～14:27, 15:17～15:53, 16:15～17:19, 17:40～17:45) / Web（社内SEの仕事なんでも相談）の調査 (11:52～12:01, 13:19～13:34) / Web（Webスクレイパー支援ツール (記録＆解析) (応答なし)）の調査 (12:00～12:01) / Web（www.google.comhttps）の調査 (12:12～12:12, 14:27～14:27, 14:48～14:48, 15:49～15:54) / Web（Web抽出レポート および他 3 ページ）の調査 (12:55～13:00) / Web（Web..."
2026/04/22,その他,10:18,16:12,0:27,"Excel (10:18～10:23) / Gmail (12:24～12:24, 14:29～14:34) / Gmail - Google Chrome (12:24～12:24, 14:29～14:34) / 設定 - Google Chrome (13:33～13:33, 14:31～14:31) / 翻訳済み (14:29～14:34) / スタート (16:12～16:17)"
2026/04/22,サイボウズ関連,09:13,18:05,4:35,"サイボウズ（メール本文）の操作 (09:13～09:13, 09:42～09:42, 10:43～11:07, 11:53～11:53, 13:12～14:14, 16:16～16:16, 17:37～17:37, 18:05～18:10) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex）の操作 (09:13～09:15) / サイボウズ（個人フォルダ）の操作 (09:14～09:16, 10:18～10:18, 10:34～10:50, 11:24～11:24, 11:49～11:52, 13:12～13:12, 14:21～14:24, 14:52～14:52, 15:39～15:58, 16:14～16:14, 18:03～18:08) / サイボウズ（メッセージの詳細）の操作 (09:14～09:14, 10:18～10:18, 10:34～10:37) / サイボウズ（ワークフロー（最新一覧））の操作 (09:15～09:15, 11:48～11:48, 15:53～15:54) / サイボウズ（ワークフロー（送信一覧））の操作 (09:15～09:15, 11:48～11:48, 15:54～15:59) / サイボウズ（申請データの詳細）の操作 (09:15～09:15, 11:48～11:48, 15:54～15:59) / サイボウズ（Cybozu Exporter V6.22）の操作 (09:38～09:43) / サイボウズ（Cybozu Exporter V6.23）の操作 (09:38～09:45, 10:38～10:43) / サイボウズ（トップページ）の操作 (09:39～09:40, 10:47～11:00, 11:31～11:31, 11:48～11:50, 13:02～13:13, 13:33～13:33, 13:49～14:15) / サイボウズ（メール）の操作 (09:39～09:40, 10:38～11:06, 11:27～12:13, 13:02～14:15) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 1 ページ）の操作 (10:18～10:18, 14:24～14:29..."
2026/04/22,システム開発,09:13,16:16,3:35,"Antigravityでの「システム開発・改善」の開発・相談 (09:13～09:13, 09:38～09:47, 10:38～11:07, 11:22～12:24, 12:58～14:23, 16:16～16:21)"
2026/04/22,メール対応,09:15,16:16,0:49,"メールの閲覧・作成 (09:15～09:47, 13:33～13:35, 16:16～16:21)"
2026/04/22,事務・データ処理,09:15,15:58,1:06,"PDF（NW見積書 フォーレスト様向けノートPC_20260415.pdf）の確認 (09:15～09:20) / Excel（③2025年度下期_行動評価シート（様式②~⑤）.xlsx）の入力・編集 (09:42～09:47, 10:05～10:09) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx）の入力・編集 (10:17～10:17, 10:34～10:36) / PDF（Application_Whitelisting_Strategy.pdf）の確認 (10:19～10:32, 11:22～11:27) / PDF（【基本手順】Forestway承認機能_フォーレスト物品請求用_240927 (2).pdf）の確認 (15:42～15:43, 15:58～16:03)"
2026/04/22,情報調査,09:16,18:06,7:03,"Web（Bizストレージ ファイルシェア および他 1 ページ）の調査 (09:16～09:16, 10:18～10:18, 11:48～11:53) / Web（Bizストレージ ファイルシェア）の調査 (09:16～09:16) / Web（rdua001 および他 1 ページ）の調査 (09:16～09:21) / Web（フォルダーの選択）の調査 (09:38～09:38, 10:46～11:00, 11:31～11:31, 11:50～11:50, 12:58～13:12, 13:33～14:14) / Web（data:,）の調査 (09:38～09:38, 10:46～11:00, 11:31～11:31, 11:50～11:50, 13:01～13:12, 13:33～13:33, 13:49～14:15) / Web（インフォメーション）の調査 (09:39～09:40, 10:47～11:00, 11:31～11:31, 11:48～11:50, 13:02～13:13, 13:33～13:33, 13:49～14:15) / Web（test.bat）の調査 (09:41～09:41, 16:13～16:18) / Web（spider_structure_map.json）の調査 (09:41～09:46) / Web（Amazon.co.jp: 【整備済み品】 ノートパソコン NEC Versapro VM-9 14インチ フルHD Core i5-1135G7 第11世代 Windows11 Office 搭載 カメラ Wi-Fi6 type-C PC パソコン (SSD:256GB メモリ:16GB) : パソコン・周辺機器）の調査 (09:41～09:46) / Web（起動しています）の調査 (09:42～09:42, 10:17～10:17, 10:34～10:39) / Web（イタリア自動車雑貨店 | イタリア車のパーツ、アクセサリーとグッズの公式オンラインショップ）の調査 (09:55～09:55, 12:24～12:29) / Web（Google Gemini）の調査 (09:55～09:55, 14:30～14:30) / Web（gemini.google.com/app?utm_source=app_laun..."
2026/04/23,その他,14:50,17:55,0:37,"スタート (14:50～14:50, 16:10～16:15) / Excel (14:50～14:50, 16:26～16:26, 17:12～17:13) / 並べ替え (16:25～16:25, 17:01～17:06) / 重複の削除 (17:02～17:07) / インポート (17:55～18:00)"
2026/04/23,サイボウズ関連,09:13,19:00,0:37,"サイボウズ（個人フォルダ）の操作 (09:13～09:13, 13:42～13:52, 14:25～14:25, 19:00～19:05) / サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway%2Ecybozu%2Ecom%2Fo%2Fag%2Ecgi%3Fpage%3DWorkFlowIndex および他 3 ページ）の操作 (09:13～09:18) / サイボウズ（ワークフロー（最新一覧））の操作 (09:13～09:18) / サイボウズ（ワークフロー（送信一覧））の操作 (09:13～09:18) / サイボウズ（申請データの詳細）の操作 (09:13～09:18) / サイボウズ（メッセージの詳細）の操作 (09:13～09:18) / サイボウズ（メール本文）の操作 (13:42～13:52, 14:23～14:25, 17:35～17:40)"
2026/04/23,システム開発,16:10,16:59,0:10,"Antigravityでの「システム開発・改善」の開発・相談 (16:10～16:10, 16:59～17:04)"
2026/04/23,事務・データ処理,15:07,19:23,1:01,"Excel（アプリケーション アプリ別(アプリ一覧).csv）の入力・編集 (15:07～15:08, 17:12～17:17) / Excel（IT規制Webサイト設定.xlsx）の入力・編集 (16:26～16:26, 17:00～17:12) / Excel（IT規制Webサイト設定_v3.xlsx ）の入力・編集 (17:01～17:01) / Excel（IT規制Webサイト設定_v3.xlsx）の入力・編集 (17:01～17:12, 17:28～17:37, 18:03～18:03, 18:47～18:47, 19:20～19:23)"
2026/04/23,情報調査,09:08,19:30,8:34,"Web（accounts.secure.freee.co.jp/sessions/new?redirect_url=https%3A%2F%2Fp.secure.freee.co.jp%2Fusers%2Fafter_login%3Fhash%3D&service_name=payroll&sign_up_url=https%3A%2F%2Faccounts.secure.freee.co.jp%2Fsign_up%3Finitial_service%3Dpayroll%26login_url%3Dhttps%253A%252F%252Fp.secure.freee.co.jp%252F%26prefer%3Demail%26redirect_url%3Dhttps%253A%252F%252Fp.secure.freee.co.jp%252Factivation%26service_name%3Dpayroll%26verification_type%3Dcode および他 3 ページ）の調査 (09:08～09:08, 19:00～19:05) / Web（UAC）の調査 (09:17～09:18, 11:00～11:00, 11:57～12:02) / Web（社内SEの仕事なんでも相談）の調査 (09:18～09:48, 10:22～10:36, 11:00～11:53, 12:46～12:46, 13:26～13:27, 13:42～14:04) / Web（リモート デスクトップ接続）の調査 (09:19～09:19, 09:44～10:02, 13:34～13:56, 14:59～15:06, 16:22～16:27) / Web（10.85.33.223）の調査 (09:19～10:02, 10:22～10:40, 11:00～12:01, 13:20～13:34, 13:50～14:02, 14:25～15:56, 16:21～16:21, 16:47～18:05, 18:21～18:21, 18:41～18:51, 19:18～19:30) / Web（設定）の調査 (09:22～09:22, 09:51～09:56) / Web（リモート デスクトップ接続 のジャンプ リスト）の調査 (09:44～10:02, 13:34～13:34, ..."
2026/04/24,その他,09:44,17:28,0:42,"名前の変更 (09:44～09:44, 11:24～11:31) / 進行状況 (11:06～11:11) / 0% 完了 (11:06～11:11) / Excel (16:19～16:19, 16:45～16:50, 17:28～17:28) / スタート (16:19～16:19, 16:50～16:51) / 検索と置換 (16:45～16:50)"
